Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total
10/14/2016,Friday,61,48,0,"2,925","5,477","6,604","4,015","19,021"
10/15/2016,Saturday,64.9,46,0,"2,444","4,323","5,350","3,418","15,535"
10/16/2016,Sunday,69.1,54,0,"2,291","4,057","5,001","3,007","14,356"
10/17/2016,Monday,80.1,63,0,"3,465","6,719","7,731","4,662","22,577"
10/18/2016,Tuesday,81,66.9,0,"4,029","7,594","8,761","5,098","25,482"
10/19/2016,Wednesday,84,69.1,0,"3,966","7,447","8,582","5,625","25,620"
10/20/2016,Thursday,70,62.1,0,"2,869","5,588","7,089","4,857","20,403"
10/21/2016,Friday,69.1,66,1.11,"1,246","2,566","3,558","2,772","10,142"
10/22/2016,Saturday,50,46.9,0.29,544,"1,254","2,108","1,517","5,423"
10/23/2016,Sunday,61,46,0,"1,899","3,271","4,020","2,707","11,897"
10/24/2016,Monday,61,51.1,T,"3,041","5,470","6,357","4,030","18,898"
10/25/2016,Tuesday,51.1,46,0,"2,616","5,224","5,760","4,054","17,654"
10/26/2016,Wednesday,50,37.9,0,"2,520","4,909","5,649","3,870","16,948"
10/27/2016,Thursday,54,41,1.41,651,"1,558","2,137","1,902","6,248"
10/28/2016,Friday,46.9,44.1,0,"2,021","3,872","4,271","3,202","13,366"
10/29/2016,Saturday,63,39,0,"1,639","3,160","4,027","2,920","11,746"
10/30/2016,Sunday,75,57.9,0.56,"1,702","2,971","3,531","2,547","10,751"
10/31/2016,Monday,54,44,0,"2,648","4,876","5,440","3,720","16,684"
